amp,ROI,position,subject
0,0,0,0
0,0,0,0
0.680025788185462,4,5,4
0,0,0,0
0,0,0,0
0,0,0,0
0.452306094105198,4,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0.54945172421062,4,5,6
0,0,0,0
0,0,0,0
0,0,0,0
0.576052152088711,4,5,7
0,0,0,0
0,0,0,0
0,0,0,0
0.871065617118867,4,5,8
0,0,0,0
0,0,0,0
0,0,0,0
0.28674253956507,4,5,9
0,0,0,0
0,0,0,0
0,0,0,0
0.672817354744052,5,5,1
0,0,0,0
0,0,0,0
0,0,0,0
0.237267406847873,5,5,2
0,0,0,0
0,0,0,0
0,0,0,0
0.522369314005598,5,5,3
0,0,0,0
0,0,0,0
0,0,0,0
0.505831107892352,5,5,4
0,0,0,0
0,0,0,0
0,0,0,0
0.45450486134713,5,5,5
0,0,0,0
0,0,0,0
0,0,0,0
